client_id;name;second_name;lastname;birthdate;nationality;sex;phone_number;source;transaction_id;transation_date;item_id;price;brand
;;;;;PL;;;search;;11.10.2024;3456;60PLN;CoreGlow
c025;Luke&;Lopez;Rivera;1984-08-22;PL;m;+1 234-567-8901;pinterest;0037;12.10.2024;3456;60PLN;CoreGlow
c025;Luke&;Lopez;Rivera;1984-08-22;PL;m;+1 234-567-8901;pinterest;0037;13.10.2024;3456;60PLN;CoreGlow
;;;;;PL;;;pinterest;;11.10.2024;3456;60PLN;CoreGlow
c031;Mia;Anderson;Sanchez;1997-05-14;DE;f;+1 234-567-8901;direct;0038;12.10.2024;3456;60PLN;CoreGlow
c007;Sarah;Johnson;Brown;1990-03-20;UK;f;999-888-7777;direct;0039;13.10.2024;65443;9USD;CoreGlow
c009;Emily;Lee;Garcia;2001-06-10;US;f;333.222.1111;direct;0040;14.10.2024;65443;9USD;CoreGlow
c010;David;Clark;Wilson;1995-09-12;US;m;+81 (0) 90-1234-5678;direct;0041;15.10.2024;65443;9USD;CoreGlow
;;;;;PL;;;direct;;16.10.2024;65443;9USD;CoreGlow
c007;Sarah;Johnson;Brown;1990-03-20;UK;f;999-888-7777;direct;0042;17.10.2024;65443;9USD;CoreGlow
c007;Sarah;Johnson;Brown;1990-03-20;UK;f;999-888-7777;direct;0043;18.10.2024;65443;9USD;Zenitha
